imgname,Filter,obstype
viscam_2021-06-25T04:05:07.448_Camera00.fits,u,bad
viscam_2021-06-25T04:16:27.448_Camera00.fits,u,bad
viscam_2021-06-25T04:29:06.448_Camera00.fits,u,bad
viscam_2021-06-25T04:44:47.448_Camera00.fits,u,focus
viscam_2021-06-25T04:49:27.448_Camera00.fits,u,focus
viscam_2021-06-25T04:52:38.448_Camera00.fits,u,focus
viscam_2021-06-25T04:55:48.448_Camera00.fits,u,focus
viscam_2021-06-25T04:59:08.447_Camera00.fits,u,focus
viscam_2021-06-25T05:03:07.447_Camera00.fits,u,focus
viscam_2021-06-25T05:06:27.448_Camera00.fits,u,focus
viscam_2021-06-25T05:17:07.447_Camera00.fits,u,science
viscam_2021-06-25T05:26:17.448_Camera00.fits,u,science
viscam_2021-06-25T05:29:57.448_Camera00.fits,u,science
viscam_2021-06-25T05:34:50.448_Camera00.fits,u,science
viscam_2021-06-25T05:45:07.448_Camera00.fits,u,focus
viscam_2021-06-25T05:47:49.448_Camera00.fits,u,focus
viscam_2021-06-25T05:51:07.448_Camera00.fits,u,focus
viscam_2021-06-25T05:54:07.448_Camera00.fits,u,focus
viscam_2021-06-25T05:56:48.447_Camera00.fits,u,focus
viscam_2021-06-25T05:59:59.448_Camera00.fits,u,focus
viscam_2021-06-25T06:03:23.448_Camera00.fits,u,focus
viscam_2021-06-25T06:06:17.448_Camera00.fits,u,focus
viscam_2021-06-25T06:09:38.448_Camera00.fits,u,focus
viscam_2021-06-25T06:12:58.448_Camera00.fits,u,focus